id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1114544,Salt Spring Carriage House - The Loft,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89496,-123.53323,Private room,151,2,12,2019-05-20,0.17,2,312
1114575,Salt Spring Carriage House - Garden Room,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89505,-123.53392,Private room,185,2,16,2018-09-02,0.69,2,339
1156460,Stunning 3BD vacation retreat!,3687551,Rita,Oak Bay,Oak Bay,48.40879,-123.32144,Entire home/apt,340,3,19,2018-08-28,0.32,1,145
1164613,Private room in Burnaby,5911034,Erica & Angela,Colwood,Colwood,48.43092,-123.51134,Private room,200,1,0,,,1,365
1167115,Visit Victoria's village by the sea,4549939,Frank,Oak Bay,Oak Bay,48.41759,-123.30264,Entire home/apt,108,2,147,2019-05-25,2.05,1,277
1174303,"Hummingbird Cottage, Arcadia by the Sea Resort",6427096,Matt,Southern Gulf Islands,Southern Gulf Islands,48.80459,-123.31812,Entire home/apt,195,2,46,2019-05-09,0.64,3,309
1175299,separate rooms for rent,6432145,Derek,Saanich,Saanich,48.44964,-123.36272,Private room,60,1,1,2017-08-21,0.05,1,23
1186607,Inlet Beach House Oceanfront Vacation Suite,6487007,Linda And Ken,North Saanich,North Saanich,48.67691,-123.48379,Entire home/apt,175,1,13,2019-04-29,0.20,1,286
1193251,Heritage Loft in Chinatown Victoria,6486449,Tarn,Victoria,Downtown,48.42494,-123.36572,Entire home/apt,116,2,172,2018-09-25,2.38,1,0
1194953,Great little home away from home,3115177,Shari,Saanich,Saanich,48.45459,-123.38306,Entire home/apt,75,2,104,2019-01-25,1.43,1,88
1201014,Character house by Victoria Harbour,5820187,Mae And Dave,Victoria,James Bay,48.41624,-123.36802,Entire home/apt,138,30,12,2018-08-27,0.21,2,0
1216960,Hidden Retreat - walk to beaches,6640415,Karen,Salt Spring Island,Salt Spring Island,48.75898,-123.41407,Entire home/apt,110,2,322,2019-05-21,4.52,1,303
1237030,Eaglehurst on Mayne Island,6743151,Jon,Southern Gulf Islands,Southern Gulf Islands,48.86791,-123.28408,Entire home/apt,99,2,16,2018-10-15,0.41,1,91
1244138,"Central, quiet apartment.",6781810,Jocelyn,Saanich,Saanich,48.45099,-123.36285,Private room,71,1,71,2019-04-26,2.09,1,135
1288741,private suite close to beaches,7006032,Anna,Oak Bay,Oak Bay,48.40997,-123.32276,Private room,81,2,78,2019-05-11,1.11,1,129
1295158,Oceanfront Cottage Galiano Island,7042586,Andrea,Southern Gulf Islands,Southern Gulf Islands,48.87846,-123.32378,Entire home/apt,200,2,40,2019-05-12,1.06,1,291
1298140,"Downtown Waterfront, Walk anywhere!",4273068,Agata,Victoria,Downtown,48.42884,-123.37016,Entire home/apt,70,2,364,2019-05-11,5.08,3,264
1345737,Moss Street Garden Suite,7118418,Birute,Victoria,Fairfield,48.40669,-123.35122,Entire home/apt,134,2,33,2019-01-02,0.50,1,290
1345746,Perfectly located 1 bedroom,802981,Deborah,Victoria,James Bay,48.41521,-123.36856,Entire home/apt,99,30,103,2019-05-20,3.13,1,172
1352283,Victoria Beauty - Walk To Everything!,7291429,Shelley,Victoria,Fairfield,48.41617,-123.35987,Private room,62,2,184,2019-05-18,2.95,1,17
1352981,Galiano Harbour View House,7344155,Erik,Southern Gulf Islands,Southern Gulf Islands,48.89775,-123.39765,Entire home/apt,241,2,134,2019-05-12,1.92,1,300
1375505,"Lovely, cozy room in cottage",1788814,Em,Saanich,Saanich,48.45643,-123.38689,Private room,55,2,44,2019-05-06,0.63,2,298
1393334,Cute and Cozy Space Downtown,5820187,Mae And Dave,Victoria,James Bay,48.41733,-123.36941,Entire home/apt,129,30,201,2018-10-03,2.84,2,83
1414651,Peregrine's Nest B&B,7623733,Ikuko,Salt Spring Island,Salt Spring Island,48.85706,-123.47932,Entire home/apt,120,2,56,2019-05-20,0.81,1,120
1429004,Architect Designed West Coast Home,7684925,Brad,Salt Spring Island,Salt Spring Island,48.87042,-123.54718,Entire home/apt,258,2,64,2019-05-20,0.91,1,59
1431103,Getaway By The Beach,7693415,Tim/Jordan,Juan de Fuca,Juan de Fuca,48.40681,-123.35487,Private room,89,3,51,2019-03-21,0.74,8,272
1437207,City’s Secret Surprise !,7720692,Gary,Victoria,Burnside,48.44446,-123.37567,Entire home/apt,120,30,24,2019-05-01,0.42,2,154
1438200,Whale Pod Chalet at Oaks Bluff  Whale watching,7725567,Kevin,Southern Gulf Islands,Southern Gulf Islands,48.75421,-123.26956,Entire home/apt,500,2,29,2019-05-13,0.62,2,277
1439161,"Carr. House B&B - ""Parliament Room""",4134834,Dan & Naoko,Victoria,James Bay,48.41606,-123.3685,Private room,90,2,131,2019-05-02,2.21,4,264
1460894,2 BD Apt on Saanich Peninsula,7829896,Jannelle And Andrew,North Saanich,North Saanich,48.69565,-123.46011,Entire home/apt,110,1,65,2019-05-09,0.95,1,301
1471669,Downtown Heritage Studio,7879272,Terry & Christie,Victoria,Downtown,48.42653,-123.36859,Entire home/apt,116,2,315,2019-05-03,5.32,1,272
